int_number,city,state,first_analysis_yr,last_analysis_yr,n_approaches,int_type,lighting_count,exclusive_ltl_count,two_way_count,rtor_permitted_count,ind_tx_count,ind_ca_count,ind_mn_count,ind_twltl_count,ind_ow_count,ind_2u_count,ind_divided_count,ind_30or35_count,ind_40__count,ind_sharrow_count,ind_bikelane_count,ind_sidepath_count,numpsl_min,numpsl_max,numpsl_sum,num_lanes_min,num_lanes_max,num_lanes_sum,bulb_outs_min,bulb_outs_max,bulb_outs_sum,count_ltl_min,count_ltl_max,count_ltl_sum,count_rtl_min,count_rtl_max,count_rtl_sum,count_rtor_min,count_rtor_max,count_rtor_sum,liquor_stores_0_1mi_min,liquor_stores_0_1mi_max,liquor_stores_0_1mi_sum,transit_daily_trips_0_5mi_min,transit_daily_trips_0_5mi_max,transit_daily_trips_0_5mi_sum,park_distance_min,park_distance_mean,park_distance_max,school_distance_min,school_distance_mean,school_distance_max,park_distance_has_500ft,park_distance_has_qtrmi,park_distance_has_halfmi,school_distance_has_500ft,school_distance_has_qtrmi,school_distance_has_halfmi,duration_yrs,avg_aadt_min,avg_aadt_max,avg_aadt_sum,avg_aadt_mean,avg_popden_min,avg_popden_max,avg_popden_sum,avg_popden_mean,avg_empden_min,avg_empden_max,avg_empden_sum,avg_empden_mean,avg_avgwindspd_min,avg_avgwindspd_max,avg_avgwindspd_sum,avg_avgwindspd_mean,avg_fraccombike_min,avg_fraccombike_max,avg_fraccombike_sum,avg_fraccombike_mean,avg_fraccomwalk_min,avg_fraccomwalk_max,avg_fraccomwalk_sum,avg_fraccomwalk_mean,avg_aadb_min,avg_aadb_max,avg_aadb_sum,avg_aadb_mean,avg_aadp_min,avg_aadp_max,avg_aadp_sum,avg_aadp_mean,sum_totalcrash,sum_pedcrash,sum_bikecrash,sum_kacrash,sum_daycrash,sum_nightcrash,sum_dawnduskcrash,sum_ka_nightcrashes,sum_ped_k_a,sum_ped_night,sum_ped_nightk_a,sum_bike_k_a,sum_bike_night,sum_bike_nightk_a
1010,Los Angeles,CA,2014.0,2022.0,3,3SG 2x2,3,0,3,2,0,3,0,0,0,3,0,1,0,0,0,0,25.0,35.0,85.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,26.0,26.0,78.0,961.0,961.0,961.0,321.0,321.0,321.0,0,1,1,1,1,1,9,14713.0,25210.88888888889,60992.333333333336,20330.777777777777,11569.888888888889,11569.888888888889,34709.666666666664,11569.888888888889,1931.0,1931.0,5793.0,1931.0,1.688888888888889,1.688888888888889,5.066666666666667,1.688888888888889,0.0006173985555555556,0.0006173985555555556,0.0018521956666666664,0.0006173985555555556,0.006009510333333332,0.006009510333333332,0.018028531,0.006009510333333332,88.35360254194966,115.00803542489042,318.36967339173054,106.12322446391018,663.7690774671141,806.685852337937,2277.140782142988,759.046927380996,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1235,Los Angeles,CA,2014.0,2022.0,3,3ST 2x2,3,2,3,3,0,3,0,0,0,1,0,2,0,0,0,0,25.0,35.0,95.0,2.0,5.0,12.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,96.0,355.0,355.0,355.0,152.0,152.0,152.0,1,1,1,1,1,1,9,4364.333333333333,18165.11111111111,40694.555555555555,13564.85185185185,14834.444444444445,14834.444444444445,44503.333333333336,14834.444444444445,4472.0,4472.0,13416.0,4472.0,1.688888888888889,1.688888888888889,5.066666666666667,1.688888888888889,0.004389314333333333,0.004389314333333333,0.013167942999999998,0.004389314333333333,0.02263563677777778,0.02263563677777778,0.06790691033333335,0.02263563677777778,151.31539990299385,169.2930403380872,489.90148057916826,163.30049352638943,1132.8852515152932,1153.4618195909113,3439.8088906971157,1146.6029635657055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1242,Los Angeles,CA,2017.0,2022.0,4,4ST 2x2,4,2,4,4,0,4,0,0,0,2,0,2,0,0,0,0,25.0,35.0,120.0,2.0,7.0,18.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,156.0,838.0,838.0,838.0,76.0,76.0,76.0,0,1,1,1,1,1,6,1259.1666666666667,17899.166666666668,38316.666666666664,9579.166666666666,21287.833333333332,21287.833333333332,85151.33333333333,21287.833333333332,2403.0,2403.0,9612.0,2403.0,1.6666666666666667,1.6666666666666667,6.666666666666667,1.6666666666666667,0.008031123166666666,0.008031123166666666,0.032124492666666664,0.008031123166666666,0.015176990833333334,0.015176990833333334,0.06070796333333334,0.015176990833333334,120.00853697865102,142.84101102655669,525.6990960104154,131.42477400260384,1150.9977712707926,1171.9033166150894,4645.802175771764,1161.450543942941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1286,Los Angeles,CA,2021.0,2022.0,3,3SG 2x2,3,0,3,2,0,3,0,0,0,1,0,0,0,0,0,0,25.0,25.0,75.0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,28.0,28.0,84.0,888.0,888.0,888.0,188.0,188.0,188.0,0,1,1,1,1,1,2,10227.0,12740.0,35707.0,11902.333333333334,19565.0,19565.0,58695.0,19565.0,1796.0,1796.0,5388.0,1796.0,1.6,1.6,4.800000000000001,1.6000000000000003,0.0041559925000000005,0.0041559925000000005,0.012467977500000001,0.0041559925000000005,0.0114320455,0.0114320455,0.0342961365,0.0114320455,120.89243418460626,163.73362405571953,448.3596822960453,149.4532274320151,710.661626256332,879.3617885574015,2469.3852033711346,823.1284011237117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1295,Los Angeles,CA,2021.0,2022.0,3,3SG 2x2,3,1,3,3,0,3,0,0,0,1,0,0,0,0,0,0,25.0,25.0,75.0,2.0,5.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,84.0,861.0,861.0,861.0,173.0,173.0,173.0,0,1,1,1,1,1,2,5501.0,12740.0,30981.0,10327.0,19578.0,19578.0,58734.0,19578.0,1796.0,1796.0,5388.0,1796.0,1.6,1.6,4.800000000000001,1.6000000000000003,0.0039569025,0.0039569025,0.0118707075,0.0039569025,0.0114681695,0.0114681695,0.0344045085,0.0114681695,118.17253397406243,164.97533071918116,448.12319541242476,149.37439847080827,719.292544119761,890.0415538477528,2499.375651815267,833.1252172717556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1361,Los Angeles,CA,2021.0,2022.0,3,3ST 2x2,3,0,3,3,0,3,0,0,0,1,0,2,0,0,0,0,25.0,30.0,85.0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,78.0,266.0,266.0,266.0,98.0,98.0,98.0,1,1,1,1,1,1,2,1520.0,12740.0,27000.0,9000.0,24205.5,24205.5,72616.5,24205.5,1733.0,1733.0,5199.0,1733.0,1.6,1.6,4.800000000000001,1.6000000000000003,0.001326533,0.001326533,0.003979599,0.001326533,0.0124507655,0.0124507655,0.0373522965,0.012450765499999999,135.15144058068466,156.69740468078373,448.5462499422521,149.51541664741734,896.1013092995297,912.3771762232004,2720.8556617459303,906.9518872486435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1363,Los Angeles,CA,2014.0,2022.0,3,3ST 2x2,2,2,3,3,0,3,0,2,0,1,0,2,0,0,0,0,25.0,35.0,95.0,2.0,5.0,12.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,54.0,475.0,475.0,475.0,251.0,251.0,251.0,1,1,1,1,1,1,9,1515.4444444444443,25449.444444444445,52414.333333333336,17471.44444444444,21722.777777777777,21722.777777777777,65168.333333333336,21722.777777777777,1296.0,1296.0,3888.0,1296.0,1.688888888888889,1.688888888888889,5.066666666666667,1.688888888888889,0.006961949888888888,0.006961949888888888,0.020885849666666664,0.006961949888888888,0.011103889444444444,0.011103889444444444,0.03331166833333333,0.011103889444444444,136.53409319667932,139.66242844850936,415.73087730538543,138.57695910179513,814.7385781727319,1149.252831894358,2778.729988239821,926.2433294132738,6.0,4.0,2.0,1.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0
1463,Los Angeles,CA,2014.0,2022.0,3,3SG 2x2,3,1,3,3,0,3,0,1,0,1,0,1,0,1,2,0,25.0,35.0,85.0,2.0,4.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,75.0,328.0,328.0,328.0,240.0,240.0,240.0,1,1,1,1,1,1,9,5715.222222222223,16802.444444444445,39230.333333333336,13076.777777777776,25155.333333333332,25155.333333333332,75466.0,25155.333333333332,1482.0,1482.0,4446.0,1482.0,1.688888888888889,1.688888888888889,5.066666666666667,1.688888888888889,0.0016536032222222222,0.0016536032222222222,0.004960809666666666,0.0016536032222222222,0.013764864222222221,0.013764864222222221,0.04129459266666667,0.013764864222222221,243.4312818761465,417.6369608507532,927.2647253906239,309.0882417968746,1115.0103442412585,1317.6682301700519,3726.840963660863,1242.2803212202878,7.0,4.0,3.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1465,Los Angeles,CA,2014.0,2022.0,3,3SG 2x2,3,1,3,3,0,3,0,1,0,1,0,2,0,1,2,0,25.0,35.0,95.0,2.0,3.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,72.0,330.0,330.0,330.0,251.0,251.0,251.0,1,1,1,1,1,1,9,5535.666666666667,18747.666666666668,43031.0,14343.666666666664,25188.222222222223,25188.222222222223,75564.66666666667,25188.222222222223,1606.0,1606.0,4818.0,1606.0,1.688888888888889,1.688888888888889,5.066666666666667,1.688888888888889,0.0015294685555555553,0.0015294685555555553,0.004588405666666667,0.0015294685555555553,0.01396159066666667,0.01396159066666667,0.041884772,0.01396159066666667,209.3243919397008,430.40341331363516,885.1758177839877,295.05860592799587,911.1939356799097,1308.6557663441752,3505.1604004983233,1168.3868001661078,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1480,Los Angeles,CA,2014.0,2022.0,4,4ST 2x2,4,2,4,4,0,4,0,0,0,2,0,2,0,0,0,0,25.0,35.0,120.0,2.0,5.0,14.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,41.0,41.0,164.0,1226.0,1226.0,1226.0,361.0,361.0,361.0,0,1,1,1,1,1,9,1288.888888888889,22983.444444444445,48544.666666666664,12136.166666666666,21685.0,21685.0,86740.0,21685.0,1880.0,1880.0,7520.0,1880.0,1.688888888888889,1.688888888888889,6.755555555555556,1.688888888888889,0.012704904222222223,0.012704904222222223,0.05081961688888889,0.012704904222222223,0.022962150555555554,0.022962150555555554,0.09184860222222221,0.022962150555555554,125.79748738954987,151.35613329245638,554.3072413640125,138.57681034100312,1167.4528052219528,1188.6572229593976,4712.220056362701,1178.0550140906753,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
